name,users,statuses,6,12,24,72
best-friends.chat,2351.0,11152969.0,0.0,1.0,5.0,13.0
elekk.xyz,2334.0,1309063.0,-1.0,-1.0,-1.0,1.0
hello.2heng.xin,2289.0,188668.0,0.0,0.0,3.0,4.0
mastodon.cipherbliss.com,2279.0,62210.0,0.0,0.0,0.0,-1.0
eletusk.club,2278.0,2181701.0,0.0,0.0,1.0,4.0
toot.cat,2196.0,327745.0,1.0,2.0,4.0,13.0
zirk.us,2196.0,36195.0,17.0,36.0,60.0,283.0
anarchism.space,2125.0,240548.0,0.0,0.0,0.0,0.0
lgbt.io,2102.0,269144.0,0.0,0.0,0.0,0.0
libretooth.gr,2060.0,142552.0,1.0,8.0,-2.0,60.0
mstdn.maud.io,2036.0,5809258.0,0.0,0.0,0.0,2.0
mstdn.kemono-friends.info,2032.0,8682239.0,0.0,0.0,0.0,1.0
layer8.space,2013.0,114223.0,1.0,8.0,16.0,38.0
freespeechextremist.com,2007.0,1694605.0,0.0,-8.0,-6.0,-6.0
mastodon.me.uk,1998.0,60264.0,0.0,0.0,0.0,29.0
freiburg.social,1997.0,44472.0,1.0,6.0,16.0,67.0
mast.dragon-fly.club,1996.0,85221.0,6.0,10.0,49.0,144.0
phpc.social,1967.0,36758.0,2.0,13.0,40.0,151.0
anticapitalist.party,1958.0,321869.0,0.0,0.0,0.0,-1.0
mastodon.com.br,1957.0,136069.0,-5.0,-10.0,4.0,9.0
fsmi.social,1909.0,12409.0,0.0,0.0,1.0,3.0
sunbeam.city,1892.0,509045.0,0.0,0.0,0.0,1.0
oslo.town,1868.0,12020.0,1.0,6.0,15.0,26.0
mastodon.gougere.fr,1847.0,202636.0,0.0,0.0,3.0,1.0
kfem.cat,1816.0,7502.0,1.0,5.0,8.0,49.0
tooting.ch,1809.0,74477.0,2.0,2.0,6.0,14.0
mstdn.osaka,1806.0,1780728.0,0.0,0.0,1.0,1.0
qdon.space,1795.0,201154.0,4.0,8.0,22.0,42.0
digitalcourage.social,1794.0,119529.0,1.0,6.0,14.0,58.0
mastodon.juggler.jp,1791.0,722649.0,0.0,0.0,0.0,1.0
mastodon.la,1788.0,358009.0,2.0,4.0,12.0,49.0
mastodon.cc,1765.0,43934.0,2.0,5.0,7.0,18.0
seaofog.com,1715.0,197689.0,-1.0,-1.0,1.0,9.0
bildung.social,1713.0,68970.0,1.0,7.0,22.0,111.0
explosion.party,1688.0,20129.0,1.0,1.0,21.0,38.0
photodn.net,1674.0,123185.0,0.0,0.0,0.0,1.0
kurry.social,1670.0,23368.0,3.0,5.0,8.0,18.0
dizl.de,1647.0,17052.0,3.0,22.0,46.0,149.0
mastodon.org.uk,1646.0,155222.0,-1.0,-1.0,-1.0,-2.0
snabelen.no,1645.0,43439.0,0.0,1.0,2.0,21.0
toot.aquilenet.fr,1635.0,140189.0,0.0,-1.0,0.0,6.0
otoya.space,1622.0,66872.0,0.0,0.0,0.0,0.0
mastodon.radio,1609.0,67058.0,12.0,17.0,25.0,94.0
tea.codes,1603.0,15988.0,3.0,5.0,13.0,41.0
social.coop,1588.0,320066.0,4.0,5.0,9.0,30.0
aleph.land,1581.0,217353.0,0.0,0.0,0.0,2.0
bsd.network,1558.0,304060.0,0.0,0.0,0.0,-2.0
mastodon.pirateparty.be,1494.0,410406.0,3.0,3.0,4.0,14.0
social.coletivos.org,1463.0,25480.0,2.0,2.0,2.0,1.0
Equestria.Social,1452.0,228376.0,10.0,21.0,28.0,139.0
equestria.social,1452.0,228376.0,10.0,21.0,28.0,139.0
mastodon.arch-linux.cz,1432.0,6112.0,9.0,9.0,29.0,135.0
mental.social,1415.0,1151132.0,0.0,1.0,3.0,4.0
cawfee.club,1329.0,175423.0,0.0,0.0,3.0,7.0
social.chinwag.org,1316.0,230796.0,0.0,-1.0,-1.0,1.0
monado.ren,1315.0,315761.0,0.0,0.0,0.0,1.0
scicomm.xyz,1277.0,34179.0,0.0,0.0,0.0,1.0
democracy.town,1274.0,400471.0,0.0,0.0,0.0,4.0
berlin.social,1273.0,16560.0,3.0,14.0,24.0,146.0
vulpine.club,1264.0,956031.0,0.0,1.0,2.0,4.0
romancelandia.club,1264.0,22701.0,4.0,8.0,11.0,62.0
tilde.zone,1259.0,125437.0,1.0,5.0,1.0,85.0
plural.cafe,1255.0,206832.0,1.0,2.0,2.0,15.0
stereodon.social,1242.0,18897.0,0.0,0.0,0.0,0.0
peoplemaking.games,1240.0,11195.0,11.0,35.0,74.0,298.0
eigadon.net,1231.0,25102.0,0.0,0.0,0.0,0.0
graz.social,1218.0,31378.0,1.0,6.0,10.0,51.0
fedi.absturztau.be,1216.0,794741.0,3.0,3.0,2.0,1.0
shelter.moe,1178.0,189220.0,0.0,0.0,-1.0,5.0
go5.dev,1178.0,288251.0,0.0,0.0,0.0,0.0
toot.turbo.chat,1156.0,28706.0,0.0,0.0,0.0,0.0
kemonodon.club,1138.0,651961.0,0.0,0.0,-1.0,-1.0
is.nota.live,1090.0,293727.0,0.0,0.0,0.0,3.0
mastodon-belgium.be,1084.0,28513.0,8.0,20.0,77.0,183.0
medibubble.org,1074.0,26386.0,1.0,2.0,5.0,20.0
patriot.online,1046.0,24490.0,1.0,3.0,3.0,14.0
girlcock.club,1041.0,328156.0,2.0,2.0,5.0,18.0
catdon.life,1034.0,85748.0,0.0,0.0,0.0,0.0
dobbs.town,1013.0,140687.0,0.0,0.0,1.0,3.0
mstdn.mx,1001.0,89425.0,1.0,2.0,4.0,15.0
mastodon.uy,992.0,72317.0,8.0,13.0,17.0,64.0
mastodol.jp,990.0,156302.0,0.0,0.0,1.0,2.0
ani.work,988.0,45389.0,0.0,0.0,0.0,2.0
lile.cl,983.0,15668.0,2.0,5.0,7.0,70.0
toot.site,979.0,167147.0,0.0,1.0,2.0,0.0
trpg.cloud,948.0,123795.0,0.0,0.0,1.0,2.0
kopiti.am,941.0,11982.0,27.0,39.0,241.0,357.0
kith.kitchen,938.0,36297.0,0.0,-1.0,-1.0,-1.0
natudon-outdoor.net,932.0,2217.0,0.0,0.0,0.0,0.0
uwu.social,931.0,249215.0,3.0,5.0,5.0,8.0
sciences.social,923.0,7710.0,6.0,11.0,28.0,137.0
social.slat.org,911.0,13710.0,-1.0,-1.0,4.0,13.0
ludosphere.fr,892.0,26625.0,3.0,6.0,10.0,93.0
mastodon.bitbank.cc,891.0,52731.0,0.0,0.0,0.0,0.0
im-in.space,879.0,69795.0,0.0,0.0,0.0,2.0
maly.io,876.0,136261.0,0.0,-20.0,-15.0,12.0
zh-cn.toots.social,847.0,37230.0,1.0,1.0,1.0,2.0
toots.social,847.0,37230.0,1.0,1.0,1.0,2.0
ephemeral.glitch.social,840.0,29.0,0.0,0.0,0.0,0.0
bbq.snoot.com,829.0,9609.0,7.0,7.0,11.0,46.0
icosahedron.website,824.0,381112.0,0.0,0.0,0.0,1.0
mastodon.tetaneutral.net,814.0,152826.0,0.0,0.0,0.0,1.0
mast.moe,808.0,332994.0,0.0,0.0,0.0,0.0
fandom.ink,805.0,187989.0,4.0,7.0,11.0,36.0
bonn.social,798.0,123987.0,3.0,50.0,54.0,70.0
summoners-riftodon.jp,797.0,56587.0,0.0,0.0,0.0,0.0
stereophonic.space,795.0,353914.0,0.0,2.0,4.0,20.0
digforfire.org,794.0,206119.0,0.0,0.0,0.0,0.0
chitter.xyz,793.0,863594.0,2.0,3.0,3.0,11.0
pokemon.mastportal.info,790.0,2141447.0,0.0,0.0,0.0,6.0
floss.social,769.0,228425.0,1.0,7.0,17.0,44.0
toot.thoughtworks.com,769.0,14145.0,0.0,0.0,1.0,14.0
piano.masto.host,753.0,3333.0,0.0,0.0,9.0,16.0
artisan.chat,735.0,10561.0,4.0,9.0,21.0,149.0
mastodonczech.cz,734.0,1329.0,1.0,4.0,19.0,156.0
flower.afn.social,734.0,9113632.0,0.0,0.0,0.0,1.0
eupolicy.social,732.0,8414.0,5.0,11.0,21.0,78.0
jawns.club,710.0,28773.0,4.0,5.0,5.0,45.0
onion.social,695.0,4815.0,0.0,0.0,0.0,0.0
mastodon.mit.edu,688.0,173861.0,0.0,2.0,2.0,14.0
sizedon.com,683.0,8784.0,0.0,0.0,0.0,0.0
kazv.moe,682.0,88058.0,-1.0,-1.0,1.0,10.0
